Replicate,Strain_Number,Strain,CFU,LogCFU
A,011R,USA011R,0,0
A,011R,USA011R,0,0
A,011R,USA011R,0,0
A,011R,USA011R,1600000,6.204119983
A,DBL1701,DBL1701,0,0
A,DBL1701,DBL1701,0,0
A,None,No Tailocin,17000000,7.230448921
A,None,No Tailocin,12000000,7.079181246
A,None,No Tailocin,12000000,7.079181246
A,None,No Tailocin,8000000,6.903089987
A,DAB2,PsyB728a,8000000,6.903089987
A,DAB2,PsyB728a,6000000,6.77815125
A,DAB2,PsyB728a,8000000,6.903089987
A,DAB2,PsyB728a,12000000,7.079181246
A,DBL1424,DBL1424,120000000,8.079181246
A,DBL1424,DBL1424,160000000,8.204119983
A,DBL1424,DBL1424,50000000,7.698970004
A,DBL1424,DBL1424,50000000,7.698970004
B,DAB2,PsyB728a,180000000,8.255272505
B,DAB2,PsyB728a,500000000,8.698970004
B,DAB2,PsyB728a,300000000,8.477121255
B,DAB2,PsyB728a,30000000,7.477121255
B,DBL1424,DBL1424,60000000,7.77815125
B,DBL1424,DBL1424,50000000,7.698970004
B,DBL1424,DBL1424,130000000,8.113943352
B,DBL1424,DBL1424,20000000,7.301029996
B,None,No Tailocin,50000000,7.698970004
B,None,No Tailocin,130000000,8.113943352
B,None,No Tailocin,10000000,7
B,None,No Tailocin,60000000,7.77815125
B,DBL1701,DBL1701,40000,4.602059991
B,DBL1701,DBL1701,27000000,7.431363764
B,DBL1701,DBL1701,0,0
B,DBL1701,DBL1701,0,0
B,011R,USA011R,4000,3.602059991
B,011R,USA011R,3200000,6.505149978
B,011R,USA011R,0,0
B,011R,USA011R,0,0
C,DBL1701,DBL1701,0,0
C,DBL1701,DBL1701,0,0
C,DBL1701,DBL1701,0,0
C,DBL1701,DBL1701,0,0
C,011R,USA011R,0,0
C,011R,USA011R,0,0
C,011R,USA011R,0,0
C,011R,USA011R,0,0
C,None,No Tailocin,100000000,8
C,None,No Tailocin,210000,5.322219295
C,None,No Tailocin,1800000,6.255272505
C,None,No Tailocin,30000000,7.477121255
C,DAB2,PsyB728a,34000000,7.531478917
C,DAB2,PsyB728a,20000,4.301029996
C,DAB2,PsyB728a,12000000,7.079181246
C,DAB2,PsyB728a,100000,5
C,DBL1424,DBL1424,600000,5.77815125
C,DBL1424,DBL1424,700000,5.84509804
C,DBL1424,DBL1424,18000000,7.255272505
C,DBL1424,DBL1424,5000000,6.698970004