Area,Normalized_Area,Treatment,Assay,Strain,Strain_ordered,Genomic_Background
18996,0.965194858,wt,1,DBL880,A,P. stutzeri DBL880
17692,0.898938062,wt,1,DBL880,A,P. stutzeri DBL880
21111,1.07265891,wt,1,DBL880,A,P. stutzeri DBL880
21377,1.086174483,wt,1,DBL880,A,P. stutzeri DBL880
20880,1.060921701,wt,1,DBL880,A,P. stutzeri DBL880
18030,0.916111986,wt,1,DBL880,A,P. stutzeri DBL880
17326,0.992495847,wt,2,DBL880,A,P. stutzeri DBL880
19140,1.096408318,wt,2,DBL880,A,P. stutzeri DBL880
14745,0.844646847,wt,2,DBL880,A,P. stutzeri DBL880
16870,0.96637452,wt,2,DBL880,A,P. stutzeri DBL880
18624,1.066849974,wt,2,DBL880,A,P. stutzeri DBL880
18038,1.033281778,wt,2,DBL880,A,P. stutzeri DBL880
13081,0.9036336,wt,3,DBL880,A,P. stutzeri DBL880
13892,0.959657364,wt,3,DBL880,A,P. stutzeri DBL880
19744,1.363912683,wt,3,DBL880,A,P. stutzeri DBL880
12860,0.888366952,wt,3,DBL880,A,P. stutzeri DBL880
14515,1.002694114,wt,3,DBL880,A,P. stutzeri DBL880
12766,0.881873446,wt,3,DBL880,A,P. stutzeri DBL880
29392,1.49342005,pMP,1,DBL907,B,P. stutzeri DBL880
29410,1.494334637,pMP,1,DBL907,B,P. stutzeri DBL880
30324,1.540775367,pMP,1,DBL907,B,P. stutzeri DBL880
30934,1.571769727,pMP,1,DBL907,B,P. stutzeri DBL880
29265,1.486967126,pMP,1,DBL907,B,P. stutzeri DBL880
29708,1.509476145,pMP,1,DBL907,B,P. stutzeri DBL880
29555,1.693017128,pMP,2,DBL907,B,P. stutzeri DBL880
27624,1.582402475,pMP,2,DBL907,B,P. stutzeri DBL880
28657,1.641576445,pMP,2,DBL907,B,P. stutzeri DBL880
27468,1.573466231,pMP,2,DBL907,B,P. stutzeri DBL880
26458,1.515609784,pMP,2,DBL907,B,P. stutzeri DBL880
27744,1.589276508,pMP,2,DBL907,B,P. stutzeri DBL880
30952,2.138159713,pMP,3,DBL907,B,P. stutzeri DBL880
25872,1.787234043,pMP,3,DBL907,B,P. stutzeri DBL880
29567,2.042484112,pMP,3,DBL907,B,P. stutzeri DBL880
30179,2.084760984,pMP,3,DBL907,B,P. stutzeri DBL880
27020,1.866537718,pMP,3,DBL907,B,P. stutzeri DBL880
31270,2.160127107,pMP,3,DBL907,B,P. stutzeri DBL880
33160,2.290688035,pMP,3,DBL907,B,P. stutzeri DBL880
31100,2.148383531,pMP,3,DBL907,B,P. stutzeri DBL880
27030,1.422631579,pMP,1,DBL187,D,P. stutzeri DAB282
27624,1.453894737,pMP,1,DBL187,D,P. stutzeri DAB282
30172,1.588,pMP,1,DBL187,D,P. stutzeri DAB282
28668,1.508842105,pMP,1,DBL187,D,P. stutzeri DAB282
28500,1.5,pMP,1,DBL187,D,P. stutzeri DAB282
28524,1.501263158,pMP,1,DBL187,D,P. stutzeri DAB282
28500,1.519675802,pMP,2,DBL187,D,P. stutzeri DAB282
28649,1.527620774,pMP,2,DBL187,D,P. stutzeri DAB282
27030,1.441292524,pMP,2,DBL187,D,P. stutzeri DAB282
26734,1.425509225,pMP,2,DBL187,D,P. stutzeri DAB282
25168,1.342007038,pMP,2,DBL187,D,P. stutzeri DAB282
25717,1.371280793,pMP,2,DBL187,D,P. stutzeri DAB282
28657,1.418312299,pMP,3,DBL187,D,P. stutzeri DAB282
25460,1.260084138,pMP,3,DBL187,D,P. stutzeri DAB282
31428,1.55545657,pMP,3,DBL187,D,P. stutzeri DAB282
28204,1.395892106,pMP,3,DBL187,D,P. stutzeri DAB282
28048,1.388171245,pMP,3,DBL187,D,P. stutzeri DAB282
24328,1.204058401,pMP,3,DBL187,D,P. stutzeri DAB282
40832,2.020885919,pMP,3,DBL187,D,P. stutzeri DAB282
25318,1.253056174,pMP,3,DBL187,D,P. stutzeri DAB282
26724,1.32264291,pMP,3,DBL187,D,P. stutzeri DAB282
26024,1.28799802,pMP,3,DBL187,D,P. stutzeri DAB282
26160,1.294729027,pMP,3,DBL187,D,P. stutzeri DAB282
32534,1.610195496,pMP,3,DBL187,D,P. stutzeri DAB282
17445,0.918157895,wt,1,DAB282,C,P. stutzeri DAB282
21524,1.132842105,wt,1,DAB282,C,P. stutzeri DAB282
19480,1.025263158,wt,1,DAB282,C,P. stutzeri DAB282
18744,0.986526316,wt,1,DAB282,C,P. stutzeri DAB282
17452,0.918526316,wt,1,DAB282,C,P. stutzeri DAB282
19360,1.018947368,wt,1,DAB282,C,P. stutzeri DAB282
23102,1.231843873,wt,2,DAB282,C,P. stutzeri DAB282
17692,0.943372081,wt,2,DAB282,C,P. stutzeri DAB282
14523,0.774394796,wt,2,DAB282,C,P. stutzeri DAB282
23525,1.254399062,wt,2,DAB282,C,P. stutzeri DAB282
13460,0.717713554,wt,2,DAB282,C,P. stutzeri DAB282
20224,1.078383278,wt,2,DAB282,C,P. stutzeri DAB282
17452,0.863746597,wt,3,DAB282,C,P. stutzeri DAB282
23243,1.150358822,wt,3,DAB282,C,P. stutzeri DAB282
16168,0.800197971,wt,3,DAB282,C,P. stutzeri DAB282
21002,1.039445682,wt,3,DAB282,C,P. stutzeri DAB282
19480,0.964117793,wt,3,DAB282,C,P. stutzeri DAB282
18744,0.927691166,wt,3,DAB282,C,P. stutzeri DAB282
19248,0.952635486,wt,3,DAB282,C,P. stutzeri DAB282
20748,1.026874536,wt,3,DAB282,C,P. stutzeri DAB282
18163,0.898935907,wt,3,DAB282,C,P. stutzeri DAB282
17204,0.851472408,wt,3,DAB282,C,P. stutzeri DAB282
25712,1.272556298,wt,3,DAB282,C,P. stutzeri DAB282
25304,1.252363276,wt,3,DAB282,C,P. stutzeri DAB282
23384,1.209788401,wt,1,DBL883,E,P. stutzeri DBL883
20222,1.04620001,wt,1,DBL883,E,P. stutzeri DBL883
10567,0.5466915,wt,1,DBL883,E,P. stutzeri DBL883
18624,0.963526308,wt,1,DBL883,E,P. stutzeri DBL883
11796,0.610274717,wt,1,DBL883,E,P. stutzeri DBL883
21651,1.120130374,wt,1,DBL883,E,P. stutzeri DBL883
18270,0.945211858,wt,1,DBL883,E,P. stutzeri DBL883
21524,1.113559936,wt,1,DBL883,E,P. stutzeri DBL883
23779,1.230224016,wt,1,DBL883,E,P. stutzeri DBL883
20361,1.053391277,wt,1,DBL883,E,P. stutzeri DBL883
23384,1.209788401,wt,1,DBL883,E,P. stutzeri DBL883
18396,0.95173056,wt,1,DBL883,E,P. stutzeri DBL883
24871,1.039974911,wt,2,DBL883,E,P. stutzeri DBL883
23102,0.9660046,wt,2,DBL883,E,P. stutzeri DBL883
22828,0.954547355,wt,2,DBL883,E,P. stutzeri DBL883
26305,1.099937278,wt,2,DBL883,E,P. stutzeri DBL883
25020,1.04620531,wt,2,DBL883,E,P. stutzeri DBL883
26734,1.11787581,wt,2,DBL883,E,P. stutzeri DBL883
21912,0.916245035,wt,2,DBL883,E,P. stutzeri DBL883
19868,0.830775664,wt,2,DBL883,E,P. stutzeri DBL883
23520,0.98348317,wt,2,DBL883,E,P. stutzeri DBL883
24048,1.005561363,wt,2,DBL883,E,P. stutzeri DBL883
24864,1.039682208,wt,2,DBL883,E,P. stutzeri DBL883
34304,1.774742615,pMP,1,DBL910,F,P. stutzeri DBL883
33176,1.716384707,pMP,1,DBL910,F,P. stutzeri DBL883
33160,1.715556935,pMP,1,DBL910,F,P. stutzeri DBL883
35628,1.843240726,pMP,1,DBL910,F,P. stutzeri DBL883
32212,1.666511459,pMP,1,DBL910,F,P. stutzeri DBL883
32040,1.657612913,pMP,1,DBL910,F,P. stutzeri DBL883
32385,1.675461741,pMP,1,DBL910,F,P. stutzeri DBL883
26583,1.375291014,pMP,1,DBL910,F,P. stutzeri DBL883
32528,1.682859951,pMP,1,DBL910,F,P. stutzeri DBL883
33166,1.71586735,pMP,1,DBL910,F,P. stutzeri DBL883
36456,1.886077914,pMP,1,DBL910,F,P. stutzeri DBL883
37838,1.957576698,pMP,1,DBL910,F,P. stutzeri DBL883
35462,1.482835041,pMP,2,DBL910,F,P. stutzeri DBL883
36647,1.532385532,pMP,2,DBL910,F,P. stutzeri DBL883
35806,1.497219318,pMP,2,DBL910,F,P. stutzeri DBL883
36824,1.539786745,pMP,2,DBL910,F,P. stutzeri DBL883
35629,1.489818106,pMP,2,DBL910,F,P. stutzeri DBL883
36148,1.511519967,pMP,2,DBL910,F,P. stutzeri DBL883
35628,1.489776291,pMP,2,DBL910,F,P. stutzeri DBL883
35128,1.468868911,pMP,2,DBL910,F,P. stutzeri DBL883
36148,1.511519967,pMP,2,DBL910,F,P. stutzeri DBL883
37315,1.560317792,pMP,2,DBL910,F,P. stutzeri DBL883
39057,1.633159105,pMP,2,DBL910,F,P. stutzeri DBL883
35963,1.503784236,pMP,2,DBL910,F,P. stutzeri DBL883
4020,0.907859079,wt,1,DBL163,I,P. fluorescens DBL163
4248,0.959349594,wt,1,DBL163,I,P. fluorescens DBL163
3537,0.798780488,wt,1,DBL163,I,P. fluorescens DBL163
5610,1.266937669,wt,1,DBL163,I,P. fluorescens DBL163
4964,1.121047877,wt,1,DBL163,I,P. fluorescens DBL163
4192,0.9467028,wt,1,DBL163,I,P. fluorescens DBL163
3852,1.102145923,wt,2,DBL163,I,P. fluorescens DBL163
2917,0.834620887,wt,2,DBL163,I,P. fluorescens DBL163
3580,1.024320458,wt,2,DBL163,I,P. fluorescens DBL163
3969,1.135622318,wt,2,DBL163,I,P. fluorescens DBL163
3537,1.012017167,wt,2,DBL163,I,P. fluorescens DBL163
3117,0.891845494,wt,2,DBL163,I,P. fluorescens DBL163
4128,0.926391382,wt,3,DBL163,I,P. fluorescens DBL163
4130,0.926840215,wt,3,DBL163,I,P. fluorescens DBL163
5090,1.142280072,wt,3,DBL163,I,P. fluorescens DBL163
4838,1.08572711,wt,3,DBL163,I,P. fluorescens DBL163
4362,0.978904847,wt,3,DBL163,I,P. fluorescens DBL163
4192,0.94075404,wt,3,DBL163,I,P. fluorescens DBL163
4420,0.998193315,pMP,1,DBL877,J,P. fluorescens DBL163
4020,0.907859079,pMP,1,DBL877,J,P. fluorescens DBL163
3737,0.843947606,pMP,1,DBL877,J,P. fluorescens DBL163
4192,0.9467028,pMP,1,DBL877,J,P. fluorescens DBL163
3969,0.896341463,pMP,1,DBL877,J,P. fluorescens DBL163
4130,0.932700994,pMP,1,DBL877,J,P. fluorescens DBL163
4048,1.158226037,pMP,2,DBL877,J,P. fluorescens DBL163
4598,1.315593705,pMP,2,DBL877,J,P. fluorescens DBL163
4420,1.264663805,pMP,2,DBL877,J,P. fluorescens DBL163
5024,1.437482117,pMP,2,DBL877,J,P. fluorescens DBL163
4315,1.234620887,pMP,2,DBL877,J,P. fluorescens DBL163
3682,1.053505007,pMP,2,DBL877,J,P. fluorescens DBL163
4598,1.031867145,pMP,3,DBL877,J,P. fluorescens DBL163
5272,1.183123878,pMP,3,DBL877,J,P. fluorescens DBL163
5734,1.286804309,pMP,3,DBL877,J,P. fluorescens DBL163
5884,1.320466786,pMP,3,DBL877,J,P. fluorescens DBL163
4236,0.950628366,pMP,3,DBL877,J,P. fluorescens DBL163
5094,1.143177738,pMP,3,DBL877,J,P. fluorescens DBL163
38623,1.142016558,wt,1,DBL885,G,P. stutzeri DBL885
31280,0.924896511,wt,1,DBL885,G,P. stutzeri DBL885
33644,0.994795979,wt,1,DBL885,G,P. stutzeri DBL885
34816,1.02945003,wt,1,DBL885,G,P. stutzeri DBL885
32981,0.975192194,wt,1,DBL885,G,P. stutzeri DBL885
31580,0.933767002,wt,1,DBL885,G,P. stutzeri DBL885
36136,0.966642592,wt,2,DBL885,G,P. stutzeri DBL885
37166,0.994195222,wt,2,DBL885,G,P. stutzeri DBL885
36466,0.975470134,wt,2,DBL885,G,P. stutzeri DBL885
38864,1.039616938,wt,2,DBL885,G,P. stutzeri DBL885
37154,0.993874221,wt,2,DBL885,G,P. stutzeri DBL885
38512,1.030200893,wt,2,DBL885,G,P. stutzeri DBL885
45605,1.348462448,pMP,1,DBL912,H,P. stutzeri DBL885
47346,1.399940863,pMP,1,DBL912,H,P. stutzeri DBL885
46792,1.383560024,pMP,1,DBL912,H,P. stutzeri DBL885
44499,1.315759905,pMP,1,DBL912,H,P. stutzeri DBL885
47734,1.411413365,pMP,1,DBL912,H,P. stutzeri DBL885
45050,1.33205204,pMP,1,DBL912,H,P. stutzeri DBL885
52492,1.40416767,pMP,2,DBL912,H,P. stutzeri DBL885
57235,1.531043522,pMP,2,DBL912,H,P. stutzeri DBL885
55996,1.497900115,pMP,2,DBL912,H,P. stutzeri DBL885
54502,1.457935425,pMP,2,DBL912,H,P. stutzeri DBL885
51884,1.387903593,pMP,2,DBL912,H,P. stutzeri DBL885
56407,1.508894417,pMP,2,DBL912,H,P. stutzeri DBL885
24053,1.113049514,wt,1,DAB462,K,P. syringae DAB462
20226,0.935955576,wt,1,DAB462,K,P. syringae DAB462
20612,0.953817677,wt,1,DAB462,K,P. syringae DAB462
19992,0.925127256,wt,1,DAB462,K,P. syringae DAB462
23780,1.100416474,wt,1,DAB462,K,P. syringae DAB462
21002,0.971864877,wt,1,DAB462,K,P. syringae DAB462
16158,0.878056733,wt,2,DAB462,K,P. syringae DAB462
20360,1.106401478,wt,2,DAB462,K,P. syringae DAB462
19982,1.085860233,wt,2,DAB462,K,P. syringae DAB462
16630,0.903706119,wt,2,DAB462,K,P. syringae DAB462
18884,1.026192805,wt,2,DAB462,K,P. syringae DAB462
23247,0.938893376,wt,3,DAB462,K,P. syringae DAB462
26730,1.079563813,wt,3,DAB462,K,P. syringae DAB462
23640,0.954765751,wt,3,DAB462,K,P. syringae DAB462
24194,0.977140549,wt,3,DAB462,K,P. syringae DAB462
22306,0.90088853,wt,3,DAB462,K,P. syringae DAB462
25318,1.022536349,wt,3,DAB462,K,P. syringae DAB462
23520,0.949919225,wt,3,DAB462,K,P. syringae DAB462
21644,0.874151858,wt,3,DAB462,K,P. syringae DAB462
26734,1.079725363,wt,3,DAB462,K,P. syringae DAB462
25308,1.022132472,wt,3,DAB462,K,P. syringae DAB462
27020,1.091276252,wt,3,DAB462,K,P. syringae DAB462
27468,1.109369952,wt,3,DAB462,K,P. syringae DAB462
18884,1.017676223,wt,4,DAB462,K,P. syringae DAB462
18163,0.978820867,wt,4,DAB462,K,P. syringae DAB462
19853,1.069896529,wt,4,DAB462,K,P. syringae DAB462
18624,1.003664583,wt,4,DAB462,K,P. syringae DAB462
18030,0.971653374,wt,4,DAB462,K,P. syringae DAB462
17786,0.958503988,wt,4,DAB462,K,P. syringae DAB462
16533,0.945120906,wt,5,DAB462,K,P. syringae DAB462
17211,0.983879266,wt,5,DAB462,K,P. syringae DAB462
19482,1.113702624,wt,5,DAB462,K,P. syringae DAB462
16747,0.95735437,wt,5,DAB462,K,P. syringae DAB462
23779,1.100370199,pMP,1,DAB895,L,P. syringae DAB462
24194,1.119574271,pMP,1,DAB895,L,P. syringae DAB462
26297,1.216890329,pMP,1,DAB895,L,P. syringae DAB462
19861,0.919065248,pMP,1,DAB895,L,P. syringae DAB462
28951,1.339703841,pMP,1,DAB895,L,P. syringae DAB462
25876,1.197408607,pMP,1,DAB895,L,P. syringae DAB462
22183,1.205466797,pMP,2,DAB895,L,P. syringae DAB462
20222,1.098902293,pMP,2,DAB895,L,P. syringae DAB462
20360,1.106401478,pMP,2,DAB895,L,P. syringae DAB462
14963,0.813118139,pMP,2,DAB895,L,P. syringae DAB462
17676,0.960547767,pMP,2,DAB895,L,P. syringae DAB462
24052,0.971405493,pMP,3,DAB895,L,P. syringae DAB462
23501,0.949151858,pMP,3,DAB895,L,P. syringae DAB462
27192,1.09822294,pMP,3,DAB895,L,P. syringae DAB462
31594,1.276009693,pMP,3,DAB895,L,P. syringae DAB462
27308,1.102907916,pMP,3,DAB895,L,P. syringae DAB462
34969,1.412318255,pMP,3,DAB895,L,P. syringae DAB462
26734,1.079725363,pMP,3,DAB895,L,P. syringae DAB462
24470,0.988287561,pMP,3,DAB895,L,P. syringae DAB462
24328,0.982552504,pMP,3,DAB895,L,P. syringae DAB462
27032,1.091760905,pMP,3,DAB895,L,P. syringae DAB462
25600,1.033925687,pMP,3,DAB895,L,P. syringae DAB462
26160,1.056542811,pMP,3,DAB895,L,P. syringae DAB462
21128,1.138607459,pMP,4,DAB895,L,P. syringae DAB462
22429,1.208719552,pMP,4,DAB895,L,P. syringae DAB462
19744,1.064022419,pMP,4,DAB895,L,P. syringae DAB462
22842,1.230976504,pMP,4,DAB895,L,P. syringae DAB462
22436,1.209096788,pMP,4,DAB895,L,P. syringae DAB462
27768,1.496443199,pMP,4,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
20216,1.155662265,pMP,5,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
17671,1.010175499,pMP,5,DAB895,L,P. syringae DAB462
18624,1.064654433,pMP,5,DAB895,L,P. syringae DAB462
18038,1.031155319,pMP,5,DAB895,L,P. syringae DAB462