ÃŸArea,Normalized_Area,Treatment,Assay,Strain
35628,1.115815847,wt,1,DBL386
25168,0.788224241,wt,1,DBL386
33657,1.054087065,wt,1,DBL386
32212,1.00883182,wt,1,DBL386
33820,1.059191982,wt,1,DBL386
31100,0.974005637,wt,1,DBL386
43703,1.368712809,pMP,1,DBL408
41539,1.300939555,pMP,1,DBL408
44652,1.398434075,pMP,1,DBL408
47720,1.494519261,pMP,1,DBL408
47168,1.477231444,pMP,1,DBL408
55370,1.734105857,pMP,1,DBL408
40111,1.191297891,wt,2,DBL386
35784,1.062785863,wt,2,DBL386
32542,0.966498367,wt,2,DBL386
29410,0.873477874,wt,2,DBL386
35976,1.068488268,wt,2,DBL386
28202,0.837600238,wt,2,DBL386
42066,1.249361449,pMP,2,DBL408
49480,1.46955747,pMP,2,DBL408
46554,1.382655183,pMP,2,DBL408
47153,1.4004455,pMP,2,DBL408
42106,1.250549451,pMP,2,DBL408
48880,1.451737452,pMP,2,DBL408
199126,0.942426491,wt,4,DBL332
207032,0.979844125,wt,4,DBL332
242820,1.149222103,wt,5,DBL332
241528,1.143107306,wt,5,DBL332
209060,0.989442273,wt,6,DBL332
201868,0.955403869,wt,6,DBL332
187800,0.888822629,wt,6,DBL332
201092,0.951731205,wt,6,DBL332
280908,1.329485555,pMP,4,DBL453
268784,1.272104908,pMP,4,DBL453
316700,1.498882464,pMP,5,DBL453
308800,1.461493227,pMP,5,DBL453
279012,1.320512138,pMP,6,DBL453
296100,1.401386478,pMP,6,DBL453
298028,1.410511345,pMP,6,DBL453
299008,1.415149504,pMP,6,DBL453